Gender,Height (inches),Weight (lbs)
Female,67,150
Male,67,140
Female,67,100
Female,62,185
Male,66,145
Female,62,140
Male,69,183
Female,68,140
Male,71,175
Male,66,108
Female,64,123
Male,66,215
Male,62,128
Female,59,91
Male,73,198
Female,59,175
Male,67,145
Male,64,118
Male,71,150
Male,71,125
Male,69,180
Female,59,94
Male,74,160
Female,63,190
Male,65,145
Male,69,160
Female,66,130
Female,63,120
Male,65,125
Female,68,124
Female,64,135
Female,64,98
Male,66,150
Female,67,160
Female,67,140
Male,71,170
Female,60,109
Male,68,170
Female,63,165
Male,67,147
Female,63,110
Male,68,160
Female,60,125
Female,66,142
Female,65,154
Female,62,119
Male,65,135
Male,69,195
Female,63,110
Female,63,140
Female,64,219
Female,66,135
Male,66,140
Male,68,135
Female,68,-1
Male,64,100
Female,62,135
Male,74,200
Female,63,150
Male,69,163
Male,71,116
Male,68,145
Male,71,140
Male,68,125
Female,66,130
Male,72,157
Male,68,200
Female,61,110
Male,64,165
Male,70,115
Male,67,153
Male,65,135
Female,62,116
Female,63,122
Male,66,130
Male,73,180
Female,66,110
Male,69,190
Male,68,160
Female,62,115
Male,66,130
Female,64,110
Male,70,150
Male,72,185
Male,70,175
Male,66,200
Female,68,180
Male,62,135
Male,63,120
Female,63,134
Male,72,185
Male,72,160
Male,68,160
Female,65,143
Female,68,180
Female,65,130
Female,65,200
Female,65,195
Male,66,160
Male,70,195
Female,63,120
Male,69,120
Female,64,110
Female,67,140
Female,66,104
Female,63,125
Male,71,140
Female,68,190
Female,65,125
Male,66,125
Male,64,125
Male,72,245
Male,74,235
Female,62,130
Male,68,135
Female,62,120
Female,63,155
Female,65,130
Female,64,130
Male,74,200
Male,70,145
Male,68,140
Male,69,135
Female,61,124
Female,66,125
Male,76,216
Female,66,120
Female,62,103
Female,65,162
Male,69,165
Male,73,164
Male,70,153
Male,75,172
Female,58,103
Female,63,135
Female,68,160
Male,69,141
Female,67,145
Male,68,148
Female,67,180
Male,70,150
Male,70,160
Female,60,170
Male,70,210
Female,66,175
Female,64,130
Male,72,172
Female,64,108
Male,72,190
Female,66,142
Male,69,235
Male,72,145
Female,66,-2
Female,70,-2
Female,64,110
Male,70,196
Female,65,118
Male,72,200
Female,61,145
Female,63,110
Female,65,115
Male,70,170
Female,66,160
Female,62,123
Female,65,135
Male,68,140
Male,65,160
Female,60,150
Male,72,168
Female,61,100
Female,62,100
Male,66,135
Male,67,155
Female,62,135
Female,64,200
Male,66,140
Female,62,185
Male,65,125
Male,72,165
Female,64,95
Male,72,155
Female,65,110
Female,67,165
Female,65,132
Male,66,125
Female,64,120
Female,63,130
Male,66,130
Male,63,115
Female,59,160
Male,64,150
Female,64,130
Female,61,120
Male,66,150
Female,66,250
Male,71,150
Male,70,180
Male,69,210
Female,61,105
Male,64,140
Male,63,130
Female,64,130
Male,71,210
Female,63,132
Female,67,-2
Male,70,125
Female,66,110
Male,65,125
Male,67,167
Male,67,140
Male,69,130
Female,65,122
Female,64,113
Female,60,108
Male,66,120
Female,60,130
Male,70,180
Female,60,105
Female,61,120
Male,69,170
Female,65,122
Male,67,145
Female,69,132
Male,70,155
Male,70,160
Female,67,105
Male,64,120
Female,61,102
Female,61,110
Male,71,140
Female,70,140
Male,71,-2
Male,68,-2
Male,72,130
Male,71,155
Male,72,190
Male,68,130
Male,73,140
Male,66,140
Male,69,136
Male,67,130
Female,67,135
Female,65,131
Male,69,142
Female,64,120
Female,67,-2
Female,63,117
Female,59,210
Female,66,130
Male,66,-2
Female,63,90
Male,65,120
Male,72,170
Male,71,160
Male,71,165
Male,67,135
Male,66,120
Male,65,110
Female,64,135
Male,72,-2
Female,63,140
Male,69,180
Female,64,-1
Female,61,-1
